iter	Passed	Remaining
0	1	124
1	2	115
2	3	113
3	4	107
4	5	105
5	6	104
6	7	105
7	9	104
8	10	103
9	11	102
10	12	100
11	13	99
12	15	102
13	16	104
14	18	104
15	19	102
16	20	100
17	21	99
18	22	97
19	23	95
20	25	94
21	26	93
22	27	92
23	28	91
24	30	91
25	31	90
26	32	88
27	34	87
28	36	88
29	37	86
30	38	86
31	39	84
32	41	83
33	42	82
34	44	82
35	45	81
36	47	80
37	48	78
38	49	77
39	50	75
40	51	74
41	52	73
42	54	72
43	55	70
44	57	70
45	58	68
46	60	67
47	61	66
48	62	65
49	63	63
50	64	62
51	65	60
52	67	59
53	68	58
54	69	57
55	71	56
56	73	55
57	74	53
58	75	52
59	76	51
60	78	49
61	79	48
62	80	47
63	81	45
64	83	44
65	85	43
66	86	42
67	87	41
68	88	39
69	90	38
70	91	37
71	92	35
72	93	34
73	94	33
74	96	32
75	98	31
76	100	29
77	101	28
78	102	27
79	103	25
80	104	24
81	105	23
82	107	21
83	108	20
84	109	19
85	111	18
86	113	16
87	114	15
88	115	14
89	116	12
90	117	11
91	118	10
92	120	9
93	121	7
94	122	6
95	124	5
96	125	3
97	127	2
98	128	1
99	129	0
